,Frequency,SAT,Participant,v,a,ter,k,participant
42,3,1,,2.1946857596641633,0.7742957012263414,0.3229724762678273,7.235787298689533,5.0
43,3,2,,3.0879995132252684,2.5379291080430977,0.3184908234314753,5.679389282152284,5.0
44,4,1,,4.646929654412676,1.0353724379103522,0.3072806611787618,3.6138133934083894,5.0
45,4,2,,3.215824155442565,3.2879933585268057,0.25027108696606193,4.9318006805436445,5.0
46,5,1,,4.227340813412134,1.106162495532831,0.34435993482996363,14.902441595207202,5.0
47,5,2,,2.5740012019993146,1.1942589258888292,0.40998532110422836,3.7409655066377945,5.0
48,6,1,,2.6922527922907356,9.202535513841983,0.1625256217788042,13.100079152128794,5.0
49,6,2,,2.604370190921118,1.395747234608777,0.36380368814627756,4.642966538997206,5.0
50,1,1,,2.1061610479378943,1.1177265030999726,0.22388990647485885,7.737857527107006,6.0
51,1,2,,2.8629215931268197,0.9089048530991679,0.3425079896924792,4.298945507954379,6.0
52,2,1,,1.1616523966462342,2.9075081553015814,0.10021825771919413,8.208820779609582,6.0
53,2,2,,2.281733617544197,0.9208159826913418,0.3945127692860696,4.297896477613976,6.0
54,3,1,,0.2769736696531046,2.402494915769388,0.10070750210461743,7.632904119981677,6.0
55,3,2,,1.5232715390923497,0.6817834513152068,0.4190659197324872,2.32473023309279,6.0
56,4,1,,0.7322371257538223,2.388175520362729,0.10015057443633585,7.373920983278681,6.0
57,4,2,,2.549619274246466,3.640669031907721,0.16191382555464012,4.03474841085428,6.0
58,5,1,,0.7851232476882628,1.0948528803161084,0.22511138226270633,7.45295558754095,6.0
59,5,2,,2.361498129498644,1.1110055150701834,0.34932286649809796,3.7905616575111627,6.0
60,6,1,,0.5714707874712996,1.7508032217872191,0.10059249410452042,6.003002035591325,6.0
61,6,2,,2.4884346325202515,1.0585637259766791,0.32563718568673566,3.1746026712785245,6.0
62,1,1,,0.20521725759315138,1.6361031632065588,0.10061932838103899,6.671463730023291,7.0
63,1,2,,2.093852359104225,1.0499742575385387,0.23231838794700177,3.601742023279879,7.0
64,2,1,,0.0,2.5673012720675716,0.10017365995796584,8.453285414516309,7.0
65,2,2,,1.4422784272277656,0.8423479536927578,0.29398096790483713,4.018446900123807,7.0
66,3,1,,0.0,1.8735565874950435,0.1004272755440192,7.221297554138157,7.0
67,3,2,,0.6276334890408498,2.7476980848990302,0.10049581533431401,4.915380711180792,7.0
68,4,1,,1.719390333125716,1.169591069465615,0.18952614036203458,6.7695795460733015,7.0
69,4,2,,1.656304680139098,1.3107311020906085,0.24154572501080518,3.5241768915630285,7.0
70,5,1,,2.192825202253135,1.5424810470398018,0.16734048088711545,7.075507631055028,7.0
71,5,2,,1.469273017794804,1.241965398655699,0.2784480916053235,4.630786188109963,7.0
72,6,1,,1.8234217388934537,1.061198152446158,0.20526221445914045,6.3467385388150355,7.0
73,6,2,,1.8516211189397973,0.9515712505834042,0.30171430332924765,3.4928142342927657,7.0
74,1,1,,0.5458750705089197,1.572515458503302,0.10020159970292475,5.570368875360403,8.0
75,1,2,,2.05750031835225,1.4530196258235812,0.31411929430124486,1.9533987968342839,8.0
76,2,1,,0.0,1.4272331660566957,0.10051490175297029,5.402605754679795,8.0
77,2,2,,0.9109519179790552,2.000793322226022,0.21126247652547625,2.1481345513307373,8.0
78,3,1,,0.0,1.6458524532302268,0.10040806789860046,5.366941590904489,8.0
79,3,2,,0.3830368283085144,2.0446940659363912,0.11848197784858122,2.198025695273867,8.0
80,4,1,,0.45506158481506315,1.5976412687591135,0.10016688349949326,5.405761277164827,8.0
81,4,2,,1.059580701089668,1.7278044227261975,0.15644931805591888,1.3581282052945747,8.0
82,5,1,,0.3412250993604026,1.7789088804902429,0.10039739240044943,5.953397168799169,8.0
83,5,2,,1.283040860282699,1.8443515631640226,0.1005559594221272,1.216861764709527,8.0
84,6,1,,0.08539294717165147,1.8885139886291666,0.10125780743226331,5.864963941849711,8.0
85,6,2,,1.2398272914984467,1.6222009407103308,0.10062772441722995,1.0229265688551794,8.0
86,1,1,,3.8580620324352086,0.7524373141118659,0.36587333890929674,8.583098133533495,9.0
87,1,2,,2.7016386006365556,1.2165333869792896,0.3458695782477452,3.4658395797863424,9.0
88,2,1,,1.7716134962492163,0.6256720399353881,0.37457090668160087,8.913220479100156,9.0
89,2,2,,1.943469227556089,1.6623906705589406,0.27478538761181287,2.3271559697146684,9.0
90,3,1,,0.8307938629228447,4.03241169973638,0.2474289358445752,11.516513185569039,9.0
91,3,2,,1.3141908732741177,1.1410307899244483,0.3528476025802533,2.484346715282476,9.0
92,4,1,,3.2108349155996154,0.5057752447208532,0.37919023162469306,-1.1625766404959148,9.0
93,4,2,,2.1041452213578054,0.7250527508275502,0.42089877171070544,-0.7100084345085972,9.0
94,5,1,,2.8453587224596615,9.187181327405593,0.15420300608603404,9.738882537499517,9.0
95,5,2,,1.8235634219138461,3.051601982268915,0.10037853441157257,3.0189017703904586,9.0
96,6,1,,3.0825299384913345,0.5213745285651408,0.39504198430232,4.150466625269551,9.0
97,6,2,,2.8252366782418474,0.5797895329547949,0.4324169253934076,-6.444972590346333,9.0
98,1,1,,2.6068922405043873,0.6165114408615873,0.2866760391317142,4.701121664151492,10.0
99,1,2,,4.088396582977033,1.4000303112235408,0.29933276738614534,4.152918842850126,10.0
100,2,1,,1.2862989538412632,1.046187696426907,0.24715414893765542,7.432869978374635,10.0
101,2,2,,2.6577084828233097,1.4310223874845427,0.2867981055829773,3.911715784043539,10.0
102,3,1,,0.563811890489272,0.8309660168862791,0.2583699663249687,7.426854996667664,10.0
103,3,2,,1.8575692043224183,1.0565254939413977,0.3343333754592572,4.3926239195651995,10.0
104,4,1,,2.10721206163371,0.783772143187683,0.25425683491138573,4.891733692973467,10.0
105,4,2,,2.4163074988188726,1.080724215847681,0.3146202503788751,2.8458483049318284,10.0
106,5,1,,2.3419049164298293,1.0484066130478444,0.2353274665669139,5.965993574990903,10.0
107,5,2,,2.4104921983242367,1.551867006434546,0.2588849587914032,2.6972341900642847,10.0
108,6,1,,2.4795975327330457,0.6847626955720063,0.2671333611878154,3.410518082463753,10.0
109,6,2,,2.679383155908955,1.1609687381373783,0.30916709773978956,2.5504162525531444,10.0
110,1,1,,3.3860918015036052,0.7539481705548274,0.326521206629605,8.356980779752428,11.0
111,1,2,,3.8446695651110274,0.7893343126056358,0.3516961980947261,2.509052121542633,11.0
112,2,1,,1.0178524494194037,1.0697685741875373,0.29475939985826544,9.033017861762694,11.0
113,2,2,,2.358438718857264,0.944279365562763,0.37109082658806297,5.3749773165431955,11.0
