,Parameter,Difference
60,Drift Rate,1.3068747452509295
61,Drift Rate,-0.5857735340529384
62,Drift Rate,-0.8669629685462181
63,Drift Rate,-0.31610057623569787
64,Drift Rate,0.15452292378231203
65,Drift Rate,-0.3719313316203414
66,Drift Rate,-0.6514166472790284
67,Drift Rate,-0.2669881283720352
68,Drift Rate,0.20146823050356644
69,Drift Rate,-0.3957260701718406
70,Drift Rate,0.49400459224362736
71,Drift Rate,0.39567687408787133
72,Drift Rate,-0.5732486238173902
73,Drift Rate,-0.4527259374630783
74,Drift Rate,0.5779720631693153
75,Drift Rate,2.155181918607939
76,Drift Rate,0.8959321887730631
77,Drift Rate,0.4180298875161177
78,Drift Rate,-0.933506930147249
79,Drift Rate,0.8741652958185975
80,Drift Rate,0.07423451677894954
81,Drift Rate,-2.1382781016096386
82,Drift Rate,-0.11032493921781494
83,Drift Rate,0.07107048744969013
84,Drift Rate,-1.3677013104051934
85,Drift Rate,-1.7912956251174017
86,Drift Rate,-0.3188669377553546
87,Drift Rate,-2.701218192771706
88,Drift Rate,-0.8998709339237032
89,Drift Rate,-0.6821662028950073
90,Drift Rate,-0.07007247156874108
91,Drift Rate,1.9381323020737118
92,Drift Rate,-1.1514915193194173
93,Drift Rate,0.9342504521354247
94,Drift Rate,0.907256631635764
95,Drift Rate,-1.237083714203305
96,Boundary Separation,0.14450861281740446
97,Boundary Separation,-0.44695508661419636
98,Boundary Separation,0.3244002346214947
99,Boundary Separation,0.17246533459043023
100,Boundary Separation,-0.3125000517062464
101,Boundary Separation,-0.1065441079013213
102,Boundary Separation,-0.6873551458149121
103,Boundary Separation,-0.6930179418684294
104,Boundary Separation,-0.4598852890790467
105,Boundary Separation,-1.7541142990071392
106,Boundary Separation,-0.6939172626832819
107,Boundary Separation,-0.9056661035483786
108,Boundary Separation,-0.3573828920789319
109,Boundary Separation,-0.5134703611889665
110,Boundary Separation,-0.19120229529393384
111,Boundary Separation,-0.762561848897043
112,Boundary Separation,-0.6606291190355087
113,Boundary Separation,-0.48600509687137505
114,Boundary Separation,-0.6403905012890643
115,Boundary Separation,-0.24023456348634498
116,Boundary Separation,-0.07890535250117858
117,Boundary Separation,-0.12413936583030771
118,Boundary Separation,-0.3834386874944691
119,Boundary Separation,-0.38245978616854703
120,Boundary Separation,-0.2638374540615249
121,Boundary Separation,-0.019889134096931937
122,Boundary Separation,-0.02835024778806905
123,Boundary Separation,-0.4891975514631026
124,Boundary Separation,-0.37790014529406835
125,Boundary Separation,-0.018292088606901125
126,Boundary Separation,-0.48056029424948543
127,Boundary Separation,-0.2706757070254595
128,Boundary Separation,-0.3852383764483933
129,Boundary Separation,-0.08360013460574289
130,Boundary Separation,0.08171461140178704
131,Boundary Separation,-0.16403980589174572
132,Boundary Separation,-0.33568626094304355
133,Boundary Separation,-0.8081578606995377
134,Boundary Separation,0.06065174028970688
135,Boundary Separation,-0.9242515248742316
136,Boundary Separation,-1.5573699576276796
137,Boundary Separation,-1.106430130065806
138,Boundary Separation,-0.49690680074439786
139,Boundary Separation,-1.1114308773182093
140,Boundary Separation,-0.4554763011079268
141,Boundary Separation,-0.7004898650692177
142,Boundary Separation,-0.939396338485046
143,Boundary Separation,-0.7096481396913669
144,Boundary Separation,-0.41484915952898793
145,Boundary Separation,0.11732454746905152
146,Boundary Separation,-0.5654919611040597
147,Boundary Separation,-0.07635919962354154
148,Boundary Separation,-0.5582207393430918
149,Boundary Separation,-0.03462207823076735
150,Boundary Separation,-0.12672657506705753
151,Boundary Separation,-0.33610052526171785
152,Boundary Separation,-0.15716505665477554
153,Boundary Separation,-0.879256210095859
154,Boundary Separation,-0.524318664901171
155,Boundary Separation,-0.5974602798796723
156,Boundary Separation,0.4954069605112452
157,Boundary Separation,-0.662275654281701
158,Boundary Separation,-0.5340905342177059
159,Boundary Separation,-0.015055766791693515
160,Boundary Separation,-0.4833790554795583
161,Boundary Separation,-0.6420721780339608
162,Boundary Separation,-0.6320770082972403
163,Boundary Separation,-0.30394885051761455
164,Boundary Separation,0.3034204392402967
165,Boundary Separation,-0.5864223983285717
166,Boundary Separation,-0.5162357263514934
167,Boundary Separation,-0.309772651491107
168,Boundary Separation,-0.5844861100121851
169,Boundary Separation,-0.6881852631108267
170,Boundary Separation,-0.40798216056530734
171,Boundary Separation,0.21738254921159805
