,Unnamed: 0,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition,participant
20,22,5,Speed,,2.986246939001679,0.7931111212771595,0.2837022489180679,2.1062357195902344,3.0
21,23,5,Accuracy,,2.106392546684297,2.4523050700316853,0.1520651642254243,2.2877827677382765,3.0
22,24,6,Speed,,2.6038037673030487,1.0223477905781433,0.2954334186406663,4.979830164554077,3.0
23,25,6,Accuracy,,2.2044803583940733,1.3559057944049582,0.2842269603110611,1.421300297787311,3.0
24,26,1,Speed,,3.678090119743072,0.6389767467863612,0.3140285803112876,9.382336800068648,4.0
25,27,1,Accuracy,,3.5668472614215943,1.258641493460479,0.2690324260608133,4.07569914469813,4.0
26,28,2,Speed,,2.350007591110141,0.6266778262771986,0.3174769294706521,8.024230970388462,4.0
27,29,2,Accuracy,,3.1880507531053297,0.8103484521504036,0.3357306514900924,1.3127011970044669,4.0
28,30,3,Speed,,1.584371192992076,0.5054401350872508,0.3283957312284317,5.014283276651778,4.0
29,31,3,Accuracy,,1.9843048037315685,1.0115791791226325,0.3055084863073699,3.5247861284367654,4.0
30,32,4,Speed,,3.5484105324747146,0.7436003838962169,0.3277232983280466,7.727564673093772,4.0
31,33,4,Accuracy,,3.0349429371197205,2.019349360349572,0.2063932261983797,3.525264312177172,4.0
32,34,5,Speed,,3.416620155023833,0.6245071942542904,0.3180660650967003,5.891012309474178,4.0
33,35,5,Accuracy,,2.5314446988542487,0.5021525103543878,0.3615348611911052,-4.760750267073018,4.0
34,36,6,Speed,,3.1273915904644523,0.5967567554296433,0.3129483658015393,6.219407025778665,4.0
35,37,6,Accuracy,,2.3022952663360354,1.1190883793799342,0.2986307798232737,4.660012097363705,4.0
36,38,1,Speed,,3.921887546284181,0.6832297667644331,0.3103005292874025,7.998290003916277,5.0
37,39,1,Accuracy,,3.738199020116751,1.1494621025740903,0.3238039827831959,0.919441242750942,5.0
38,40,2,Speed,,3.7100656769223783,1.4570920606883715,0.2947149604167435,10.309772112782357,5.0
39,41,2,Accuracy,,2.5584638758923344,5.485696173045866,0.207805075780403,6.83196968810156,5.0
40,42,3,Speed,,2.194685759664164,0.7742957012263414,0.3229724762678273,7.235787298689533,5.0
41,43,3,Accuracy,,3.0879995132252684,2.5379291080430977,0.3184908234314753,5.679389282152284,5.0
42,44,4,Speed,,4.646929654412676,1.0353724379103522,0.3072806611787618,3.613813393408389,5.0
43,45,4,Accuracy,,3.215824155442565,3.2879933585268057,0.2502710869660619,4.9318006805436445,5.0
44,46,5,Speed,,4.227340813412134,1.106162495532831,0.3443599348299636,14.902441595207202,5.0
45,47,5,Accuracy,,2.5740012019993146,1.1942589258888292,0.4099853211042283,3.7409655066377945,5.0
46,48,6,Speed,,2.692252792290736,9.202535513841983,0.1625256217788042,13.100079152128794,5.0
47,49,6,Accuracy,,2.604370190921118,1.395747234608777,0.3638036881462775,4.642966538997206,5.0
48,50,1,Speed,,2.1061610479378943,1.1177265030999726,0.2238899064748588,7.737857527107006,6.0
49,51,1,Accuracy,,2.86292159312682,0.908904853099168,0.3425079896924792,4.298945507954379,6.0
50,52,2,Speed,,1.1616523966462342,2.9075081553015814,0.1002182577191941,8.208820779609582,6.0
51,53,2,Accuracy,,2.281733617544197,0.9208159826913418,0.3945127692860696,4.297896477613976,6.0
52,54,3,Speed,,0.2769736696531046,2.402494915769388,0.1007075021046174,7.632904119981677,6.0
53,55,3,Accuracy,,1.5232715390923497,0.6817834513152068,0.4190659197324872,2.32473023309279,6.0
