,Unnamed: 0,Stimulus Contrast,SAT,participant,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition
139,141,3,5,16,1.793775314303494,1.2890178446874918,0.2335123129585769,3.2093348397928905
140,142,4,1,16,0.0362274689053774,0.8716633545091668,0.1002810255727192,9.578320903726723
141,143,4,2,16,0.8991611456823977,1.3224846049629655,0.1002399078041395,7.478372311725097
142,144,4,3,16,1.726615619256659,2.117326413056465,0.1739650541246595,8.496733254890648
143,145,4,4,16,2.4335093100480614,1.0730092207065178,0.271881508849814,5.760305172434105
144,146,4,5,16,2.578402416081402,0.9230343320155504,0.3257860872420496,3.4677266440571617
145,147,5,1,16,0.3324912285564012,0.8625922037297222,0.1008013600245075,8.976456893013612
146,148,5,2,16,1.120768517185063,1.8642075934498443,0.1009938080490948,8.885591560417977
147,149,5,3,16,2.046409175676443,1.205359094141044,0.1878830714129113,5.578449717520908
148,150,5,4,16,2.785755577786152,1.1602227435691237,0.2359777972299903,4.533686249330176
149,151,5,5,16,3.169748227663962,1.4403315236935166,0.2747979587258666,4.370498046164427
150,152,1,1,17,0.082459034644657,8.141421106054462,0.107020339204841,13.9071008401891
151,153,1,2,17,0.998959070569884,3.1802443689351536,0.1014683473701177,8.098130076447315
152,154,1,3,17,0.2860527874975821,1.1440065882559471,0.2702251641834742,3.43838584608402
153,155,1,4,17,0.5761430968065655,8.630237213040868,0.226861054065025,9.846397830343893
154,156,1,5,17,1.33828442100868,0.6571918366038005,0.4788744028901172,1.6937514237700917
155,157,2,1,17,0.6572012907515875,3.892229519356587,0.1560888656834033,13.20152560191837
156,158,2,2,17,1.1947841849747034,7.19518583597589,0.1074950747878518,10.895400490019323
157,159,2,3,17,1.338352617965265,0.5033073268561763,0.4059155459514869,-3.7422133778658537
158,160,2,4,17,1.14819995481669,1.7157249322987775,0.3307366083329763,8.089659559125986
159,161,2,5,17,1.0562529504246023,1.1145938710326142,0.3401783323623535,2.4775806714259514
160,162,3,1,17,0.4973145627076691,0.5102985994292757,0.2454449445722055,-0.3307372637187256
161,163,3,2,17,2.040861758790356,1.546938260755396,0.2358995654258766,8.86521484062348
162,164,3,3,17,1.519522166724767,0.9126562409206064,0.3030141428923826,1.8756541932578272
163,165,3,4,17,2.9715636790981503,1.6931301178133418,0.3563813428339307,4.808598081461591
164,166,3,5,17,2.172386883700113,5.364425113925217,0.1643132926997538,5.368050385505796
165,167,4,1,17,0.9645944040290948,9.497433643250236,0.1115318595429871,15.567678193184683
166,168,4,2,17,1.5500027697324703,1.1018991763136017,0.2223359711235453,8.18629713891582
167,169,4,3,17,1.9218534819034216,0.593803522708618,0.4046975865941218,0.8385313610737202
168,170,4,4,17,2.3503792987255525,1.0889592829984798,0.370743202934353,5.284278001150218
169,171,4,5,17,6.0,0.7928072478820329,0.4022975088438302,-9.28979412705305
