,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,participant
174,3,1,,1.110590327308791,0.9816120355704232,0.22278672230261498,16.0
175,3,2,,1.4294572650641455,0.9508382150890656,0.3733042921260077,16.0
176,4,1,,1.0385386480963537,0.6160561786925737,0.20510813269653794,16.0
177,4,2,,3.7397568408680595,1.6760582714218848,0.39458934161508036,16.0
178,5,1,,1.0300283118168088,0.7971488630214003,0.21677682421719685,16.0
179,5,2,,1.9298992457405117,0.9410243682700434,0.37470472789142917,16.0
180,6,1,,1.6639093050660618,1.2409313508205027,0.1898211445029912,16.0
181,6,2,,2.346075507961069,0.9823980040287698,0.38010566284707326,16.0
182,1,1,,4.933048897273218,0.9800185858042112,0.32439186417927757,17.0
183,1,2,,5.003121368841959,1.7961205569588798,0.3355002877055146,17.0
184,2,1,,4.369416646975963,1.2076016237922005,0.3022222902528113,17.0
185,2,2,,2.431284344902251,0.9499443402011586,0.3888486483534743,17.0
186,3,1,,2.004598732382064,0.6736566085911774,0.32315163344682346,17.0
187,3,2,,3.1560902517014813,1.408242699182369,0.4485971648169137,17.0
188,4,1,,3.649096624081725,1.1621383530995752,0.30115857459737455,17.0
189,4,2,,2.7148461719463004,1.0949879743702515,0.39974488999305935,17.0
190,5,1,,4.89303457947885,1.3604475276011276,0.3225176052494564,17.0
191,5,2,,3.985777947843086,1.6702935736015632,0.40062726289468525,17.0
192,6,1,,2.8977812610538245,1.1301796136263396,0.2363569612908074,17.0
193,6,2,,4.13486497525713,2.333111717383238,0.26064831328673255,17.0
