,Participant,Difficulty,Incentive,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition
8,8,med,none,0.8667046307185722,2.972948590043936,0.2689659292549106,4.937753766037847
9,9,med,gain,0.0,1.130009206807396,0.19371821229565767,5.703261163088348
9,9,med,loss,0.0,1.7333345269273917,0.1032178128136757,5.136533815884
9,9,med,none,0.0,1.5803987417827208,0.10007969062940714,4.954480324868238
10,10,med,gain,0.3940629654800299,2.929832535182955,0.28109607572435835,4.254362668361138
10,10,med,loss,0.09908760372468099,2.9957508127066936,0.13135551510458598,4.526988992117852
10,10,med,none,0.3112740057308453,2.8145937316555374,0.14420557198523298,3.7399150089580107
11,11,med,gain,1.365446673442709,1.8722420702922382,0.2948057569352054,2.036297034800468
11,11,med,loss,1.359209149773322,2.9207462995496405,0.14801570208870407,2.561394194389822
11,11,med,none,1.2940671024346029,2.8564422675584265,0.20037565236374355,1.8935965653466966
12,12,med,gain,0.06623077102612887,0.5125271005884129,0.22412390129149568,-1.8057937204148586
12,12,med,loss,0.01647543307902908,0.5021700519341126,0.24031012072485075,-2.2325270941373403
12,12,med,none,0.0,0.5239971803188261,0.2756333174503534,-3.2878565121013104
13,13,med,gain,0.6188949995637125,0.7937945908903683,0.42390968636852877,-0.6862283493888737
13,13,med,loss,1.3075569006625627,1.6958743573299349,0.2575897753719489,2.8857463169804642
13,13,med,none,0.7752234467795865,0.815283720818166,0.3750491850476653,1.0579912116077774
14,14,med,gain,1.157437198414526,2.7794030120137982,0.10087887352385327,2.990865177688914
14,14,med,loss,0.0,2.1256868746441344,0.10334367769985203,1.6836111746152045
14,14,med,none,1.0123615641982184,1.0316103453811358,0.37796097629724396,0.9802334190491212
15,15,med,gain,1.053236569762601,1.3690007242131954,0.3291912736634261,2.0186660920950024
15,15,med,loss,1.045217268652936,0.6264643375279586,0.40491789129315525,-2.344709201030285
15,15,med,none,1.3309161807844094,2.7897198334364166,0.24495874322184935,2.356619465315221
16,16,med,gain,0.3662407097571133,0.5001414379437619,0.20007556702958335,-9.051488432888199
16,16,med,loss,0.14693643006986276,0.5038277495788264,0.19939694457322066,-9.476707797956745
16,16,med,none,0.3271138772693667,0.5023195596962058,0.21390226723136463,-5.7894730201267475
17,17,med,gain,0.07234935528796516,0.8393155754443002,0.265034282699757,0.9135790995269087
17,17,med,loss,0.23503041146792872,0.5909456141595659,0.4169632506353774,-2.4775777717781153
17,17,med,none,0.00880950478784373,1.0571172235505109,0.20629760454619506,2.8780121837116805
18,18,med,gain,1.55431113635353,1.0778602264425825,0.35740353145394854,3.006784357685946
18,18,med,loss,0.0,0.7295072866512082,0.38081008079629575,0.9209091138579575
18,18,med,none,0.9433915622253742,1.8004247228090706,0.1604738021625408,4.325287748214199
19,19,med,gain,0.03560088031875322,0.5267338914694888,0.21579227862522893,-5.802118522238956
19,19,med,loss,0.14737456548797973,1.7421664061908597,0.10074279141335934,2.607792206108248
19,19,med,none,0.08751173680461376,1.382852092490958,0.10659073602465335,2.455098293505052
20,20,med,gain,0.25335104275437353,2.3615473275480174,0.10403758404342883,2.551681913004154
20,20,med,loss,0.17790187984246988,2.005980462422479,0.10184126183499537,2.960981910036719
20,20,med,none,0.47117871762211305,2.5432218956792356,0.10546772702917084,3.236366582631201
21,21,med,gain,1.069103061371852,0.559059388429417,0.46445789120800035,-6.285449148919284
21,21,med,loss,1.0967017887720245,1.6647926907589221,0.28792261391006774,2.761169938240525
21,21,med,none,0.7744252957906109,2.088018610806686,0.24399256541546216,3.268235205205046
22,22,med,gain,1.313044653441045,2.9993928905206277,0.21257592374604467,5.0638599139524665
22,22,med,loss,0.7703381023043652,1.1630454583932541,0.3606193834971951,3.0284335864906815
22,22,med,none,1.429229250964723,1.2292187980463691,0.3481137752562739,3.5028714248540824
23,23,med,gain,0.058111278975785066,1.3416066275999337,0.10594746669974237,2.0999508599020995
23,23,med,loss,0.16238456689350134,1.2327692248959727,0.10061940862170399,1.8665400018134752
23,23,med,none,0.0,1.9036944209309976,0.1018796955487557,2.8434392203763945
24,24,med,gain,0.13241646750764996,2.9896897315143054,0.3006956220732754,3.413065589284157
24,24,med,loss,0.0,2.921782963559571,0.36339313952078056,4.081475909935564
24,24,med,none,0.0960148728970891,2.999202093775497,0.13038832480573992,3.2487652888047402
