,Unnamed: 0,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,participant
65,67,3,Accuracy,,1.3619947697962602,1.28881246741463,0.2042083114417502,7.0
66,68,4,Speed,,3.37365344384068,1.0685220808559992,0.2260298088434373,7.0
67,69,4,Accuracy,,2.604843435892912,1.152122215461742,0.3064715946461678,7.0
68,70,5,Speed,,4.115278196457436,1.0826608752183196,0.2183618992647553,7.0
69,71,5,Accuracy,,2.1917341518126228,1.0009462638165325,0.3397996723834708,7.0
70,72,6,Speed,,3.2533788002176918,0.9627530142730848,0.2386564917519082,7.0
71,73,6,Accuracy,,3.2459053001229075,1.1267928201648305,0.3289458108059834,7.0
72,74,1,Speed,,1.2187241584607824,1.0890793584015503,0.1527694617963435,8.0
73,75,1,Accuracy,,3.161599779933592,1.424765619344594,0.4006319092520662,8.0
74,76,2,Speed,,0.4506561737329091,1.1031059849558869,0.1641946981463343,8.0
75,77,2,Accuracy,,1.7805398940676191,1.9112638456554245,0.3176474914317134,8.0
76,78,3,Speed,,0.0,1.218650337887491,0.1613609287156298,8.0
77,79,3,Accuracy,,0.5347740805406005,1.1579985975977842,0.287166677878365,8.0
78,80,4,Speed,,0.9686403838278522,1.024484313038352,0.1754229140610664,8.0
79,81,4,Accuracy,,1.855324210696761,1.9487358379125836,0.2423027687479394,8.0
80,82,5,Speed,,0.9044504378066498,1.1091818719903694,0.1832328757029611,8.0
81,83,5,Accuracy,,2.667867453677618,2.666551829618049,0.1092053070037565,8.0
82,84,6,Speed,,0.5384675266337795,0.7680956079842265,0.2166745450272515,8.0
83,85,6,Accuracy,,1.8649777066673647,1.8745257380500324,0.1095889746918269,8.0
84,86,1,Speed,,5.950867306908548,0.6924247519149233,0.3823066453990267,9.0
85,87,1,Accuracy,,4.359248068434169,1.1893315526593211,0.3939976314778526,9.0
86,88,2,Speed,,2.6202317956655947,0.5801680238762332,0.3885939713007048,9.0
87,89,2,Accuracy,,3.2941707479039213,1.6915989011944426,0.3731137550080303,9.0
88,90,3,Speed,,1.4248581594206442,0.7857553803486124,0.3940050045946565,9.0
89,91,3,Accuracy,,2.0762156396872498,1.2412316814565392,0.4072771899757363,9.0
90,92,4,Speed,,4.1857353108270425,0.7102593685331433,0.3766531023206096,9.0
91,93,4,Accuracy,,3.767649584863032,1.410749233602361,0.4132916365027546,9.0
92,94,5,Speed,,5.239718009542602,0.8497457267097431,0.3879843359222785,9.0
93,95,5,Accuracy,,2.90684403870417,1.7891420651947891,0.2277287279025256,9.0
94,96,6,Speed,,5.634085865305896,0.7949261579970323,0.4014139539095819,9.0
95,97,6,Accuracy,,4.334895446158741,1.5045742976883991,0.4052287169485495,9.0
96,98,1,Speed,,2.8836359272617504,0.5383703671590545,0.2890081335048831,10.0
97,99,1,Accuracy,,5.000399515398782,0.9532195266880424,0.3411896059646288,10.0
98,100,2,Speed,,3.030089734120612,1.0562898231365323,0.2717419390756381,10.0
99,101,2,Accuracy,,3.534281344602352,0.9389652756674808,0.3535954650529028,10.0
100,102,3,Speed,,0.9340413201566796,0.6662259754258771,0.2813089197990384,10.0
101,103,3,Accuracy,,3.63095615535722,1.2317179365299369,0.3683784512515446,10.0
102,104,4,Speed,,4.019124247783517,1.0249735499834522,0.267410707419306,10.0
103,105,4,Accuracy,,3.5137780361918134,1.1013327496069938,0.343054471304113,10.0
104,106,5,Speed,,4.868277419363428,1.1040338338851792,0.2686380034969367,10.0
105,107,5,Accuracy,,4.314761921636542,1.662254573228271,0.3125414873434063,10.0
106,108,6,Speed,,4.256440871694563,0.94686165774576,0.2740064154321935,10.0
107,109,6,Accuracy,,3.2161614418919338,0.9814837359765274,0.3303603064798295,10.0
108,110,1,Speed,,5.275054257294696,0.7442326507564146,0.3346491682323945,11.0
109,111,1,Accuracy,,5.146104363825568,0.8709592258234722,0.3590677724962074,11.0
110,112,2,Speed,,1.622192067247475,0.6621853784403909,0.3403536465964517,11.0
111,113,2,Accuracy,,4.0561699182723725,0.9982859037021088,0.3919175896427551,11.0
112,114,3,Speed,,1.279543800296957,0.7769418904255121,0.3275104995644505,11.0
113,115,3,Accuracy,,1.967796347314937,0.9341069470802876,0.3671449412011652,11.0
114,116,4,Speed,,2.3365298606832687,0.747078799945414,0.3326973310545072,11.0
115,117,4,Accuracy,,4.657453079774861,1.626335010041273,0.3272046179816379,11.0
116,118,5,Speed,,3.8350685293341664,0.9414558434817012,0.3264748045026066,11.0
117,119,5,Accuracy,,5.032169747166456,1.4657745083828722,0.3718744703484221,11.0
118,120,6,Speed,,3.369248756121273,0.7075117528639358,0.3494014462805194,11.0
119,121,6,Accuracy,,4.364669579442661,1.304972032743608,0.3703568783194514,11.0
120,122,1,Speed,,4.444253847868603,1.5008280346502,0.2003760838569311,12.0
121,123,1,Accuracy,,3.137379102617673,1.0054210741389549,0.2996715942309735,12.0
122,124,2,Speed,,1.4309632424391547,0.502529375598106,0.3128989107362095,12.0
123,125,2,Accuracy,,2.016736776492093,1.164805029879807,0.3446061718942491,12.0
124,126,3,Speed,,0.7544010951001101,0.8813190256968252,0.2712987443449126,12.0
125,127,3,Accuracy,,1.6213640636463282,1.415409559914531,0.3157758568649002,12.0
126,128,4,Speed,,2.559005391528118,1.430000569778054,0.1714912754128669,12.0
127,129,4,Accuracy,,2.8751059677638158,1.4450563365697475,0.3086140097095092,12.0
128,130,5,Speed,,3.211092703659741,1.0272610801942947,0.3227051646506604,12.0
129,131,5,Accuracy,,3.056569779877429,1.510640135673853,0.3247251303695578,12.0
130,132,6,Speed,,2.2979752296994995,0.9696256099741624,0.238733705863813,12.0
131,133,6,Accuracy,,2.669906561319841,1.6116977880081231,0.2575134194447059,12.0
132,134,1,Speed,,3.018171699252836,0.8910283363215638,0.3073017829958177,13.0
133,135,1,Accuracy,,3.669588346531864,1.523105344618804,0.3447289007254511,13.0
134,136,2,Speed,,2.25498608297035,0.8764524949806464,0.3315404768219226,13.0
135,137,2,Accuracy,,2.521974211342385,1.180401345498261,0.3915936224055457,13.0
136,138,3,Speed,,0.9754521117580908,1.0534607149881936,0.3294826939051488,13.0
